id,lastname,firstname,organization,email
78,Rautio,Milla,University of Waterloo,rautio@uow.ca
79,Gomis,Jaume,University of Alberta,gomis@uoa.ca
80,Heimpel,Moritz,York University,heimpel@yu.ca
81,Czekanski,Aleksander,University of Manitoba,czekanski@uom.ca
82,Soliman,Youstina,McGill University,soliman@mu.ca
83,yue,stephen,University of British Columbia,yue@uobc.ca
84,GhoreishiMadiseh,SeyedAli,University of Manitoba,ghoreishimadiseh@uom.ca
85,Pawlak,Miroslaw,Dalhousie University,pawlak@du.ca
86,Saif,Ahmed,Crescent Point Energy Corp.,saif@cpec.ca
87,Corbiell,Matthew,University of Toronto,corbiell@uot.ca
88,Hibbard,Glenn,University of Waterloo,hibbard@uow.ca
89,Radovanovic,Pavle,University of Waterloo,radovanovic@uow.ca
90,Preston,Nicholas,McMaster University,preston@mu.ca
91,Bock,Nicholas,SignalChem Pharmaceuticals Inc,bock@spi.ca
92,Sung,MichelleYoonsuh,University of Alberta,sung@uoa.ca
93,AbouRizk,Simaan,University of Waterloo,abourizk@uow.ca
94,Kazhamiaka,Fiodar,University of Toronto,kazhamiaka@uot.ca
95,Brusse,Kayman,Resverlogix,brusse@r.ca
96,Stanley,Emma,University of Toronto,stanley@uot.ca
97,Kim,YoungJune,McGill University,kim@mu.ca
98,Hunter,Miranda,University of Toronto,hunter@uot.ca
99,Moscovitch,Morris,University of Waterloo,moscovitch@uow.ca
100,Fidan,Baris,University of Guelph,fidan@uog.ca
101,Choleris,Elena,University of Toronto,choleris@uot.ca
102,AlavyGhahfarrokhy,SeyedMasih,Université de Sherbrooke,alavyghahfarrokhy@uds.ca
103,Kabanza,Froduald,McGill University,kabanza@mu.ca
104,Kaspi,Victoria,University of Ottawa,kaspi@uoo.ca
105,Maler,Leonard,University of Lethbridge,maler@uol.ca
106,Broadbent,Samuel,Université de Sherbrooke,broadbent@uds.ca
107,Michaud,François,Isowater Corporation,michaud@ic.ca
108,Dykstra,Erick,Université de Montréal,dykstra@udm.ca
109,Chagnon,PierreLuc,University of Saskatchewan,chagnon@uos.ca
110,Tanaka,Takuji,University of Guelph,tanaka@uog.ca
111,Chen,Aicheng,University of Manitoba,chen@uom.ca
112,Galley,Ryan,Queen's University,galley@qu.ca
113,Take,WilliamAndrew,McMaster University,take@mu.ca
114,Kitai,Adrian,University of Alberta,kitai@uoa.ca
115,Lowary,Todd,University of Alberta,lowary@uoa.ca
116,Tang,Johnson,University of Toronto,tang@uot.ca
117,Les,Robert,Concordia University,les@cu.ca
118,Vidyarthi,Navneet,University of Saskatchewan,vidyarthi@uos.ca
119,Mueller,Jens,University of Saskatchewan,mueller@uos.ca
120,Yang,Chun,University of Toronto,yang@uot.ca
121,Hooshyar,Ali,Université du Québec en Abitibi-Témiscamingue,hooshyar@udqea.ca
122,Bussière,Bruno,Université du Québec à Rimouski,bussiere@udqar.ca
123,StLaurent,MartinHugues,University of New Brunswick,stlaurent@uonb.ca
124,Sim,Bonnie,Dalhousie University,sim@du.ca
125,Tobin,Rebecca,Mitchell Plastics,tobin@mp.ca
126,Rath,Kyle,University of British Columbia,rath@uobc.ca
127,Elmo,Davide,Université de Montréal,elmo@udm.ca
128,Lippé,Sarah,École Polytechnique de Montréal,lippe@epdm.ca
129,Margni,Manuele,McGill University,margni@mu.ca
130,Liu,Weiwei,University of Oslo,liu@uoo.ca
131,PetleyRagan,Arianne,Kinexus Bioinformatics Corporation,petleyragan@kbc.ca
132,Perron,Ashley,McGill University,perron@mu.ca
133,Stephens,Lisa,University of Victoria,stephens@uov.ca
134,Muller,Hausi,McMaster University,muller@mu.ca
135,Dumitrescu,Sorina,École de technologie supérieure,dumitrescu@edts.ca
136,Lamarche,Louis,Acadia University,lamarche@au.ca
137,Discher,Adam,University of British Columbia,discher@uobc.ca
138,Rose,Ann,University of Toronto,rose@uot.ca
139,Valaee,Shahrokh,University of Western Ontario,valaee@uowo.ca
140,Damjanovski,Sashko,Dalhousie University,damjanovski@du.ca
141,Basu,Prabir,Université Laval,basu@ul.ca
142,Dallaire,Xavier,University of Alberta,dallaire@uoa.ca
143,Spribille,Toby,Index Exchange Inc.,spribille@iei.ca
144,Rao,Shakeel,University of Alberta,rao@uoa.ca
145,Doran,Charles,McGill University,doran@mu.ca
146,FarivarMohseni,Reza,University of Ottawa,farivarmohseni@uoo.ca
147,Sargent,Risa,Concordia University,sargent@cu.ca
148,Shihab,Emad,McGill University,shihab@mu.ca
149,Galiana,Henrietta,University of Ottawa,galiana@uoo.ca
150,CapkunHuot,Catherine,University of Manitoba,capkunhuot@uom.ca
151,Gordon,Joseph,University of Toronto,gordon@uot.ca
152,Dorrah,Ayman,SYNERGX Technologies Inc.,dorrah@sti.ca
153,DionStGermain,Antoine,Université de Sherbrooke,dionstgermain@uds.ca
154,Houde,Daniel,University of Victoria,houde@uov.ca
155,Ernst,Neil,University of Western Ontario,ernst@uowo.ca
156,Passos,Sheila,University of Ottawa,passos@uoo.ca
157,Corkum,Paul,University of Toronto,corkum@uot.ca
158,Ruzzante,Sacha,McGill University,ruzzante@mu.ca
159,PeregBarnea,Tamar,University of Ontario Institute of Technology,peregbarnea@uooiot.ca
160,Azim,Akramul,Mount Saint Vincent University,azim@msvu.ca
161,Vandenboer,Erik,Ryerson University,vandenboer@ru.ca
162,Chan,Horace,Queen's University,chan@qu.ca
163,Dingel,Juergen,Ballard Power Systems Inc.,dingel@bpsi.ca
164,Dahl,Kevin,Collège Mérici,dahl@cm.ca
165,Morin,Claude,Université de Montréal,morin@udm.ca
166,James,Patrick,McGill University,james@mu.ca
167,Schoeck,Frieder,University of Waterloo,schoeck@uow.ca
168,Ikert,Heather,University of Ottawa,ikert@uoo.ca
169,Kinsley,Christopher,University of Toronto,kinsley@uot.ca
170,Ito,Rutsuko,University of Waterloo,ito@uow.ca
171,BenDavid,Shai,University of British Columbia,bendavid@uobc.ca
172,Naser,Gholamreza,Université de Montréal,naser@udm.ca
173,PicardDeland,Claudia,Université Laval,picarddeland@ul.ca
174,LaFlamme,Crystal,University of Illinois at Urbana-Champaign,laflamme@uoiau.ca
175,Acedo,Jeella,University of Guelph,acedo@uog.ca
176,WagnerRiddle,Claudia,École Polytechnique de Montréal,wagnerriddle@epdm.ca
177,Lessard,David,University of Alberta,lessard@uoa.ca
178,Lee,Timothy,University of British Columbia,lee@uobc.ca
179,Moore,Jackson,Ryerson University,moore@ru.ca
180,Antonescu,Costin,Université du Québec à Chicoutimi,antonescu@udqac.ca
181,Chen,XGrant,University of Toronto,chen@uot.ca
182,McCarter,Colin,Université de Montréal,mccarter@udm.ca
183,Lajoie,Guillaume,École Polytechnique de Montréal,lajoie@epdm.ca
184,Dorner,Sarah,University of Waterloo,dorner@uow.ca
185,Yu,Alfred,Collège Shawinigan,yu@cs.ca
186,Hamel,Lucie,Université de Montréal,hamel@udm.ca
187,Theoret,Christine,Dalhousie University,theoret@du.ca
188,Clark,Jillian,University of Toronto,clark@uot.ca
189,Tetford,Pamela,University of Waterloo,tetford@uow.ca
190,Ingalls,Brian,Concordia University,ingalls@cu.ca
191,Gelinas,Yves,McGill University,gelinas@mu.ca
192,Scavone,Gary,George Brown College of Applied Arts and Technology,scavone@gbcoaaat.ca
193,Davidson,Dawn,Université Laval,davidson@ul.ca
194,Tremblay,MariePier,University of Guelph,tremblay@uog.ca
195,Lavery,Jacqueline,University of Toronto,lavery@uot.ca
196,Nabutovsky,Alexander,McMaster University,nabutovsky@mu.ca
197,Bullen,Nathan,Institut national de la recherche scientifique,bullen@indlrs.ca
198,Gobeil,Alexandra,8996598 Canada Inc.,gobeil@8ci.ca
199,Bright,Andrew,Laurentian University of Sudbury,bright@luos.ca
200,Schindler,Michael,Lakehead University,schindler@lu.ca
